frame,time_s,status,wrist_x,wrist_y,wrist_z,shoulder_vis,elbow_vis,wrist_vis,shoulder_yaw,shoulder_pitch,elbow_flex,torso_yaw,torso_ok,target_j1,target_j2,target_j3,target_j4,target_j5,target_j6,actual_j1,actual_j2,actual_j3,actual_j4,actual_j5,actual_j6
0,1768672032.19011,Pose: holding,0.0051409900188446045,1.681909203529358,-1.069947600364685,0.9995899796485901,0.5724368691444397,0.03892950713634491,nan,nan,nan,nan,0,0.0,1.0,-1.5,0.0,0.0,0.0,-6.918639765348326e-05,0.8629963400602366,-1.4114118655219345,0.00158952834302378,0.07014636091317779,0.001855036836893595
5,1768672032.405377,Pose: holding,0.02756587602198124,1.706795334815979,-1.0694862604141235,0.9994754791259766,0.6455863118171692,0.048770129680633545,nan,nan,nan,nan,0,0.0,1.0,-1.5,0.0,0.0,0.0,-0.0007298035345444138,0.29405123152073176,-1.3749784244420042,0.00725244303856139,0.13080110108424794,0.010883593812372003
10,1768672032.612169,Pose: holding,0.030029643326997757,1.7426223754882812,-1.202680230140686,0.9994370937347412,0.6928628087043762,0.058263443410396576,nan,nan,nan,nan,0,0.0,1.0,-1.5,0.0,0.0,0.0,-0.0008847293213108039,0.1944506501577675,-1.4052752425795945,0.005446402520742159,0.09715708575158039,0.008394327403113955
15,1768672032.789922,Pose: holding,0.03488712012767792,1.7394113540649414,-1.1259485483169556,0.9993889927864075,0.7101689577102661,0.06367381662130356,nan,nan,nan,nan,0,0.0,1.0,-1.5,0.0,0.0,0.0,-0.0009998809309132437,0.1767219075727404,-1.4263292691754512,0.004108662073874052,0.0728850525541515,0.006476369612647129
20,1768672032.964291,Pose: holding,0.026442090049386024,1.705777645111084,-0.8817893862724304,0.9994434118270874,0.7026785612106323,0.05938819795846939,nan,nan,nan,nan,0,0.0,1.0,-1.5,0.0,0.0,0.0,-0.001113029272724368,0.17344601648984997,-1.4423468989204307,0.003099730865643778,0.05478640969025005,0.004996827411953592
25,1768672033.142127,Pose: holding,-0.001935663865879178,1.6404376029968262,-1.01394784450531,0.9994055032730103,0.7097256779670715,0.0582125298678875,nan,nan,nan,nan,0,0.0,1.0,-1.5,0.0,0.0,0.0,-0.0012254378623146314,0.1728510262299102,-1.4547721359394636,0.002340009444327779,0.04119379409135453,0.0038559525541521263
30,1768672033.3217359,Pose: holding,0.02153841033577919,1.604161262512207,-1.5618116855621338,0.999369740486145,0.6972211599349976,0.06862876564264297,nan,nan,nan,nan,0,0.0,1.0,-1.5,0.0,0.0,0.0,-0.001337554694309429,0.172754606250279,-1.4644558718543716,0.0017662395048001812,0.030967894789064976,0.002975743205623749
35,1768672033.498889,Pose: holding,-0.0047216215170919895,1.6518173217773438,-0.9262512922286987,0.9991732835769653,0.6132200956344604,0.05917320400476456,nan,nan,nan,nan,0,0.0,1.0,-1.5,0.0,0.0,0.0,-0.0014493494408121903,0.17274884495168877,-1.4720119389216806,0.0013329578773555123,0.023271851010363914,0.0022963994306570592
40,1768672033.672331,Pose: holding,0.0009847342735156417,1.713945984840393,-0.6700707674026489,0.9994058609008789,0.5140572786331177,0.05312480032444,nan,nan,nan,nan,0,0.0,1.0,-1.5,0.0,0.0,0.0,-0.0015607829433161716,0.1727578943229289,-1.4779096895822927,0.0010058629610324849,0.01747955605655613,0.0017721166904003717
45,1768672033.8839948,Pose: holding,0.1697607785463333,0.7880465984344482,-1.205376386642456,0.9990684390068054,0.49860262870788574,0.17518238723278046,nan,nan,nan,nan,0,0.0,1.0,-1.5,0.0,0.0,0.0,-0.0016718846169232954,0.1727680128729285,-1.4825135513239658,0.0007588730194850927,0.013120307390768155,0.00136748490624681
50,1768672034.0569038,Pose: holding,0.022476332262158394,1.623456358909607,-0.9125171303749084,0.9982904195785522,0.47064030170440674,0.2676827907562256,nan,nan,nan,nan,0,0.0,1.0,-1.5,0.0,0.0,0.0,-0.001782642509818455,0.17277699380356742,-1.4861075872116876,0.0005723875588733924,0.009839802179405659,0.0010551957641791864
55,1768672034.239003,Pose: holding,-0.0005140681168995798,1.677125334739685,-0.703281044960022,0.9988473057746887,0.42628151178359985,0.1813400536775589,nan,nan,nan,nan,0,0.0,1.0,-1.5,0.0,0.0,0.0,-0.0018930558130902738,0.1727847167263603,-1.4889134140341111,0.0004315876316323088,0.007371296248025686,0.0008141749860186146
60,1768672034.414277,Pose: holding,-0.01557076908648014,1.668569803237915,-1.3627009391784668,0.9991268515586853,0.46737080812454224,0.15281885862350464,nan,nan,nan,nan,0,0.0,1.0,-1.5,0.0,0.0,0.0,-0.002003123684088546,0.17279138835520194,-1.4911039785495728,0.00032528364322917223,0.005513961784119337,0.0006281578436820461
65,1768672034.5991712,Pose: holding,-0.020527401939034462,1.693818211555481,-1.4682255983352661,0.9990088939666748,0.4869181215763092,0.1630183309316635,nan,nan,nan,nan,0,0.0,1.0,-1.5,0.0,0.0,0.0,-0.0021128457014430863,0.17279722675380207,-1.4928142590116245,0.0002450260792669744,0.0041166058654592995,0.0004845916249924213
70,1768672034.772774,Pose: holding,-0.025040065869688988,1.6745878458023071,-0.8785062432289124,0.9992105960845947,0.5019066333770752,0.16234514117240906,nan,nan,nan,nan,0,0.0,1.0,-1.5,0.0,0.0,0.0,-0.00222222178523632,0.17280241274947825,-1.4941496066673845,0.000184434631574826,0.003065410464566682,0.0003737884279526036
75,1768672034.945916,Pose: holding,-0.01408479269593954,1.660556435585022,-0.8557195663452148,0.9992392063140869,0.5102658271789551,0.14591282606124878,nan,nan,nan,nan,0,0.0,1.0,-1.5,0.0,0.0,0.0,-0.002331252119593296,0.1728070893089085,-1.4951922525262509,0.00013869156672841474,0.002274699363732655,0.00028827132421467685
80,1768672035.120597,Pose: holding,-0.0292610302567482,1.6931413412094116,-0.8591958284378052,0.9994269013404846,0.4655175507068634,0.100322425365448,nan,nan,nan,nan,0,0.0,1.0,-1.5,0.0,0.0,0.0,-0.002439937092650314,0.17281136814637962,-1.4960063840539821,0.000104159117761913,0.0016799847263641349,0.00022226975436397402
85,1768672035.297647,Pose: holding,0.017117498442530632,1.6174283027648926,-0.7280593514442444,0.9995983839035034,0.44959232211112976,0.08550447225570679,nan,nan,nan,nan,0,0.0,1.0,-1.5,0.0,0.0,0.0,-0.002548277250442634,0.17281533626366358,-1.4966421064493878,7.80905432333487e-05,0.0012327307258259606,0.00017133009224302743
90,1768672035.473566,Pose: holding,0.1498454213142395,1.4118999242782593,-1.471038579940796,0.9993501901626587,0.4645889103412628,0.21444088220596313,nan,nan,nan,nan,0,0.0,1.0,-1.5,0.0,0.0,0.0,-0.00265627326080092,0.1728190613365303,-1.4971385337570986,5.84119267864604e-05,0.0008964104529190924,0.00013201509135212427
95,1768672035.650607,Pose: tracking,0.21180377900600433,0.865985631942749,-2.0722737312316895,0.9991174936294556,0.5407931804656982,0.4424380958080292,-0.23330973431469043,-0.546317260387678,0.9266756971213952,0.1404089650174456,0,0.19540466409227325,2.0378351903869305,-1.0169972036631165,0.0,0.0,0.0,-0.0026331125426869804,0.2015469817982642,-1.4426060139242736,2.634997733097834e-05,-0.00039172488760317063,9.273474903543108e-05
